date,num_international,num_national,num_total
2021-10-12,0,0,0
2021-10-13,13,10,23
2021-10-14,13,10,23
2021-10-15,13,10,23
2021-10-16,13,10,23
2021-10-17,13,10,23
2021-10-18,13,10,23
2021-10-19,13,10,23
2021-10-20,13,10,23
2021-10-21,13,10,23
2021-10-22,13,10,23
2021-10-23,13,10,23
2021-10-24,13,10,23
2021-10-25,13,10,23
2021-10-26,13,10,23
2021-10-27,13,10,23
2021-10-28,13,10,23
2021-10-29,13,10,23
2021-10-30,13,10,23
2021-10-31,13,10,23
2021-11-01,13,10,23
2021-11-02,13,10,23
2021-11-03,13,10,23
2021-11-04,13,10,23
2021-11-05,13,10,23
2021-11-06,82,29,111
2021-11-07,259,37,296
2021-11-08,259,37,296
2021-11-09,259,37,296
2021-11-10,260,37,297
2021-11-11,260,37,297
2021-11-12,260,980,1240
2021-11-13,260,994,1254
2021-11-14,260,994,1254
2021-11-15,260,994,1254
2021-11-16,260,994,1254
2021-11-17,260,994,1254
2021-11-18,260,994,1254
2021-11-19,260,994,1254
2021-11-20,260,994,1254
2021-11-21,260,994,1254
2021-11-22,260,994,1254
2021-11-23,260,994,1254
2021-11-24,260,994,1254
2021-11-25,261,997,1258
2021-11-26,261,997,1258
2021-11-27,261,997,1258
2021-11-28,261,997,1258
2021-11-29,261,997,1258
2021-11-30,261,997,1258
2021-12-01,261,997,1258
2021-12-02,261,997,1258
2021-12-03,261,997,1258
2021-12-04,516,997,1513
2021-12-05,516,997,1513
2021-12-06,516,997,1513
2021-12-07,516,997,1513
2021-12-08,516,997,1513
2021-12-09,516,997,1513
2021-12-10,516,997,1513
2021-12-11,516,997,1513
2021-12-12,516,997,1513
2021-12-13,516,997,1513
2021-12-14,516,997,1513
2021-12-15,516,997,1513
2021-12-16,516,997,1513
2021-12-17,516,997,1513
2021-12-18,516,997,1513
2021-12-19,516,997,1513
2021-12-20,516,997,1513
2021-12-21,516,997,1513
2021-12-22,516,997,1513
2021-12-23,516,997,1513
2021-12-24,516,997,1513
2021-12-25,516,997,1513
2021-12-26,516,997,1513
2021-12-27,516,997,1513
2021-12-28,516,997,1513
2021-12-29,516,997,1513
2021-12-30,516,997,1513
2021-12-31,516,997,1513
2022-01-01,516,997,1513
2022-01-02,516,997,1513
2022-01-03,516,997,1513
2022-01-04,516,997,1513
2022-01-05,516,997,1513
2022-01-06,516,997,1513
2022-01-07,516,997,1513
2022-01-08,516,997,1513
2022-01-09,516,997,1513
2022-01-10,516,997,1513
2022-01-11,516,997,1513
2022-01-12,516,997,1513
2022-01-13,516,997,1513
2022-01-14,516,997,1513
2022-01-15,516,997,1513
2022-01-16,516,997,1513
2022-01-17,516,997,1513
2022-01-18,516,997,1513
2022-01-19,516,997,1513
2022-01-20,516,997,1513
2022-01-21,516,997,1513
2022-01-22,516,997,1513
2022-01-23,516,997,1513
2022-01-24,516,997,1513
2022-01-25,516,997,1513
2022-01-26,516,997,1513
2022-01-27,516,997,1513
2022-01-28,516,997,1513
2022-01-29,516,997,1513
2022-01-30,516,997,1513
2022-01-31,516,997,1513
2022-02-01,516,997,1513
2022-02-02,516,997,1513
2022-02-03,516,997,1513
2022-02-04,516,997,1513
2022-02-05,516,997,1513
2022-02-06,516,997,1513
2022-02-07,516,997,1513
2022-02-08,516,997,1513
2022-02-09,516,997,1513
2022-02-10,516,997,1513
2022-02-11,516,997,1513
2022-02-12,516,997,1513
2022-02-13,516,997,1513
2022-02-14,516,997,1513
2022-02-15,516,997,1513
2022-02-16,516,997,1513
2022-02-17,516,997,1513
2022-02-18,516,997,1513
2022-02-19,516,997,1513
2022-02-20,516,997,1513
2022-02-21,516,997,1513
2022-02-22,516,997,1513
2022-02-23,516,997,1513
2022-02-24,516,997,1513
2022-02-25,516,997,1513
2022-02-26,516,997,1513
2022-02-27,516,997,1513
2022-02-28,516,997,1513
2022-03-01,516,997,1513
2022-03-02,516,997,1513
2022-03-03,516,997,1513
2022-03-04,516,997,1513
2022-03-05,516,997,1513
2022-03-06,516,997,1513
2022-03-07,516,997,1513
2022-03-08,516,997,1513
2022-03-09,516,997,1513
2022-03-10,516,997,1513
2022-03-11,0,0,0
2022-03-12,0,0,0
2022-03-13,0,0,0
2022-03-14,0,0,0
2022-03-15,0,0,0
2022-03-16,0,0,0
2022-03-17,0,0,0
2022-03-18,0,0,0
2022-03-19,0,0,0
2022-03-20,0,0,0
2022-03-21,0,0,0
2022-03-22,0,0,0
2022-03-23,0,0,0
2022-03-24,0,0,0
2022-03-25,0,0,0
2022-03-26,0,0,0
2022-03-27,0,0,0
2022-03-28,0,0,0
2022-03-29,0,0,0
2022-03-30,0,0,0
2022-03-31,0,0,0
2022-04-01,0,0,0
2022-04-02,0,0,0
2022-04-03,0,0,0
2022-04-04,0,0,0
2022-04-05,0,0,0
2022-04-06,0,0,0
2022-04-07,0,0,0
2022-04-08,0,0,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,0,0,0
2022-04-12,0,0,0
2022-04-13,0,0,0
2022-04-14,0,0,0
2022-04-15,0,0,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,0,0,0
2022-04-19,0,0,0
2022-04-20,0,0,0
2022-04-21,0,0,0
2022-04-22,0,0,0
2022-04-23,0,0,0
2022-04-24,0,0,0
2022-04-25,0,0,0
2022-04-26,0,0,0
2022-04-27,0,0,0
2022-04-28,0,0,0
2022-04-29,0,0,0
2022-04-30,0,0,0
2022-05-01,0,0,0
2022-05-02,0,0,0
2022-05-03,0,0,0
2022-05-04,0,0,0
2022-05-05,0,0,0
2022-05-06,0,0,0
2022-05-07,0,0,0
2022-05-08,0,0,0
2022-05-09,0,0,0
2022-05-10,0,0,0
2022-05-11,0,0,0
2022-05-12,0,0,0
2022-05-13,0,0,0
2022-05-14,0,0,0
2022-05-15,0,0,0
2022-05-16,0,0,0
2022-05-17,0,0,0
2022-05-18,0,0,0
2022-05-19,0,0,0
2022-05-20,0,0,0
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,0,0,0
2022-05-24,0,0,0
2022-05-25,0,0,0
2022-05-26,0,0,0
2022-05-27,0,0,0
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,0,0,0
2022-05-31,0,0,0
2022-06-01,0,0,0
2022-06-02,0,0,0
2022-06-03,0,0,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,0,0,0
2022-06-07,0,0,0
2022-06-08,0,0,0
2022-06-09,0,0,0
2022-06-10,0,0,0
2022-06-11,0,0,0
2022-06-12,0,0,0
2022-06-13,0,0,0
2022-06-14,0,0,0
2022-06-15,0,0,0
2022-06-16,0,0,0
2022-06-17,0,0,0
2022-06-18,0,0,0
2022-06-19,0,0,0
2022-06-20,0,0,0
2022-06-21,0,0,0
2022-06-22,0,0,0
2022-06-23,0,0,0
2022-06-24,0,0,0
2022-06-25,0,0,0
2022-06-26,0,0,0
2022-06-27,0,0,0
2022-06-28,0,0,0
2022-06-29,0,0,0
2022-06-30,0,0,0
2022-07-01,0,0,0
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,0,0,0
2022-07-05,0,0,0
2022-07-06,0,0,0
2022-07-07,0,0,0
2022-07-08,0,0,0
2022-07-09,0,0,0
2022-07-10,0,0,0
2022-07-11,0,0,0
2022-07-12,0,0,0
2022-07-13,0,0,0
2022-07-14,0,0,0
2022-07-15,0,0,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,0,0
2022-07-19,0,0,0
2022-07-20,0,0,0
